Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
1. Østerbro;2. 1. Nord;(Uden for parti);(Uden for parti);Theresa Scavenius;19
1. Østerbro;2. 1. Nord;(Uden for parti);(Uden for parti);John Erik Wagner;0
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Partiliste;620
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Mette Reissmann;57
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Yildiz Akdogan;16
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Sophie Hæstorp Andersen;31
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Ida Auken;179
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Stig Ekman;1
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Jarl Feyling;0
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Camilla Hoffmann;3
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Peter Hummelgaard;88
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Erik Jensen;3
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Emilla Møller;0
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Asbjørn Reissmann;5
1. Østerbro;3. 1. Syd;A;Socialdemokratiet;Marcus Vesterager;3
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Partiliste;527
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Helene Langager;49
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Samira Nawa;159
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Thomas Rohden;64
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Frederik Rosberg;10
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Magnus Georg Jensen;74
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Anne-Sofie Sadolin;26
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Maria Georgi Sloth;24
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Thomas Markmann;7
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Emil Moselund;25
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Marianne Mortensen;3
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Mikkel Senna Odoom;11
1. Østerbro;3. 1. Syd;B;Radikale Venstre;Julie Herdal;11
1. Østerbro;3. 1. Syd;C;Det Konservative Folkeparti;Partiliste;394
